indicator,domain,n_models,raw_rho,partial_rho,p_cond,bh28_cond,by28_cond,status,source_path,source_cell_pointer
eff_rank_pr,science,43,-0.6214134702506795,-0.6519277526402187,9.999000099990002e-05,0.00025452000254520005,0.000999543582833156,VALID_DENOMINATOR,render/adapted/F1-rarefied-28.json,/cells/21
rankme,science,43,-0.6846874056176382,-0.664739946655331,9.999000099990002e-05,0.00025452000254520005,0.000999543582833156,VALID_DENOMINATOR,render/adapted/F1-rarefied-28.json,/cells/23
stable_rank,science,43,-0.5664451827242525,-0.6398002338971577,9.999000099990002e-05,0.00025452000254520005,0.000999543582833156,VALID_DENOMINATOR,render/adapted/F1-rarefied-28.json,/cells/25
spectral_alpha,science,43,0.5940803382663847,0.6031879066002107,0.00019998000199980003,0.00046662000466620004,0.0018324965685274524,VALID_DENOMINATOR,render/adapted/F1-rarefied-28.json,/cells/24
vn_entropy,science,43,-0.6434611899728179,-0.6297133358128165,9.999000099990002e-05,0.00025452000254520005,0.000999543582833156,VALID_DENOMINATOR,render/adapted/F1-rarefied-28.json,/cells/27
isoscore,science,43,-0.648293566898218,-0.6264793974522609,9.999000099990002e-05,0.00025452000254520005,0.000999543582833156,VALID_DENOMINATOR,render/adapted/F1-rarefied-28.json,/cells/22
twoNN_id,math,50,0.4123409363745498,0.5874822698546703,9.999000099990002e-05,0.00025452000254520005,0.000999543582833156,VALID_DENOMINATOR,render/adapted/F1-rarefied-28.json,/cells/12
twoNN_id,code,48,0.40805471124620063,0.4005640811438578,0.007599240075992401,0.016367594009829785,0.06427834117296294,VALID_DENOMINATOR,render/adapted/F1-rarefied-28.json,/cells/5
