model_id,layer_index,n_layers,relative_depth,r2_b,beta,s,r2_eps
01-ai/Yi-1.5-9B-Chat,47,48,0.020833333333333332,0.0845192807140368,-0.12315849914995278,0.128326301949959,0.10910373252320693
01-ai/Yi-1.5-9B-Chat,46,48,0.041666666666666664,0.07281352725632828,-0.12762112376042745,0.128326301949959,0.09690152946583364
01-ai/Yi-1.5-9B-Chat,45,48,0.0625,0.16120415428708168,-0.13671913726610666,0.128326301949959,0.13265040447071919
01-ai/Yi-1.5-9B-Chat,44,48,0.08333333333333333,0.17249119464182006,-0.13884328743135627,0.128326301949959,0.160020148275147
01-ai/Yi-1.5-9B-Chat,43,48,0.10416666666666667,0.16560899370139548,-0.1407559309636796,0.128326301949959,0.1635050908356196
01-ai/Yi-1.5-9B-Chat,42,48,0.125,0.17037488784300758,-0.13823838165275687,0.128326301949959,0.18539518212193884
01-ai/Yi-1.5-9B-Chat,41,48,0.14583333333333334,0.17578471721520728,-0.1359118439113311,0.128326301949959,0.1943182454050867
01-ai/Yi-1.5-9B-Chat,40,48,0.16666666666666666,0.17549377581768766,-0.13678380621998923,0.128326301949959,0.19190155758114458
01-ai/Yi-1.5-9B-Chat,39,48,0.1875,0.19507898132980372,-0.13591466136337557,0.128326301949959,0.16638232143599974
01-ai/Yi-1.5-9B-Chat,38,48,0.20833333333333334,0.18988313138896196,-0.1369609930559749,0.128326301949959,0.14963112071983642
01-ai/Yi-1.5-9B-Chat,37,48,0.22916666666666666,0.20131319172223583,-0.13772911047454114,0.128326301949959,0.2014398409196001
01-ai/Yi-1.5-9B-Chat,36,48,0.25,0.21750079963884517,-0.13623464822273695,0.128326301949959,0.18944083434018422
01-ai/Yi-1.5-9B-Chat,35,48,0.2708333333333333,0.2797157005038121,-0.13042455738680164,0.128326301949959,0.2006259082328402
01-ai/Yi-1.5-9B-Chat,34,48,0.2916666666666667,0.28542129902406466,-0.13727669068866394,0.128326301949959,0.18919215012900914
01-ai/Yi-1.5-9B-Chat,33,48,0.3125,0.30034866526978077,-0.13745336381978587,0.128326301949959,0.18305824746965105
01-ai/Yi-1.5-9B-Chat,32,48,0.3333333333333333,0.30716102816062474,-0.1299432883200228,0.128326301949959,0.21194844815933056
01-ai/Yi-1.5-9B-Chat,31,48,0.3541666666666667,0.2563456347468267,-0.13630516820972202,0.128326301949959,0.19577481843868172
01-ai/Yi-1.5-9B-Chat,30,48,0.375,0.2933596258758142,-0.1358434828219636,0.128326301949959,0.20576647987731955
01-ai/Yi-1.5-9B-Chat,29,48,0.3958333333333333,0.3219324377821189,-0.13647432107043841,0.128326301949959,0.1932206650644419
