relative_depth,n_models,median_r2_b,rho_H2,median_r2_eps
0.05,28,0.24775598829453116,0.9441707717569786,0.26060624981688413
0.1,29,0.26579326026844013,0.9349753694581281,0.32149030696166714
0.15,29,0.3026170381427593,0.9261083743842364,0.3101463783812252
0.2,29,0.3355783551636341,0.9187192118226601,0.38213954064218847
0.25,29,0.3404794991120311,0.90935960591133,0.381084982672645
0.3,29,0.3710598204036863,0.9251231527093596,0.40862254212999205
0.35,29,0.3733221699221294,0.9428571428571428,0.4068855046123707
0.4,29,0.4066543002820768,0.9881773399014778,0.41341267145063254
0.45,29,0.41237127449796707,0.967487684729064,0.3985650795211901
0.5,29,0.38238871880971725,0.9822660098522168,0.42403221312630135
0.55,29,0.4129395581692798,0.9798029556650246,0.42085579484696467
0.6,29,0.4153478983824682,0.9768472906403941,0.4224258317771592
0.65,29,0.4030340046146808,0.9763546798029556,0.4391018392821948
0.7,29,0.4174158823982903,0.970935960591133,0.4428915328119125
0.75,29,0.4266426525151469,0.9482758620689655,0.4572027664584064
0.8,29,0.4154541255805001,0.9729064039408867,0.45247549866592296
0.85,29,0.3957570489239577,0.9714285714285714,0.4528985144091763
0.9,29,0.41493555726047643,0.9448275862068966,0.4440591663755814
0.95,29,0.4093825864524138,0.9748768472906404,0.45413617552521535
1.0,29,0.39065720318566144,0.9600985221674877,0.439910705381105
