relative_depth,n_models,median_r2_b,rho_H2,median_r2_eps
0.05,28,0.2477559882945313,0.9441707717569786,0.26060624981688385
0.1,29,0.26579326026844013,0.9349753694581281,0.3214903069616669
0.15,29,0.3026170381427592,0.9261083743842364,0.31014637838122455
0.2,29,0.3355783551636342,0.9187192118226601,0.3821395406421882
0.25,29,0.340479499112031,0.90935960591133,0.381084982672645
0.3,29,0.3710598204036863,0.9251231527093596,0.40862254212999494
0.35,29,0.37332216992212935,0.9428571428571428,0.4068855046123687
0.4,29,0.40665430028207683,0.9881773399014778,0.4134126714506323
0.45,29,0.41237127449796673,0.967487684729064,0.3985650795211897
0.5,29,0.38238871880971725,0.9822660098522168,0.4240322131263021
0.55,29,0.41293955816928,0.9798029556650246,0.4208557948469644
0.6,29,0.4153478983824682,0.9768472906403941,0.42242583177715937
0.65,29,0.4030340046146808,0.9763546798029556,0.43910183928219604
0.7,29,0.4174158823982903,0.970935960591133,0.44289153281191224
0.75,29,0.4266426525151469,0.9482758620689655,0.4572027664584065
0.8,29,0.4154541255805001,0.9729064039408867,0.45247549866592707
0.85,29,0.3957570489239577,0.9714285714285714,0.45289851440917417
0.9,29,0.4149355572604763,0.9448275862068966,0.4440591663755824
0.95,29,0.40938258645241377,0.9748768472906404,0.45413617552521507
1.0,29,0.39065720318566166,0.9600985221674877,0.43991070538110677
